	Title	Author	Search	Year	Lang	Pages	Digital	License	Publisher	DNB_ID	Relation	Relation_ID	Genre	Unnamed: 13	Unnamed: 14	Unnamed: 15
0	Das Haus in der Wüste	Max Schraut	DER DETEKTIV	1929	ger	64	WAHR	free	Berlin : Verl. moderner Lektüre, 1929	1017586284	Der Detektiv	unkown	Krimi		Krimi	848.0
1	Der Mann aus dem feurigen Ofen	Max Schraut	DER DETEKTIV	1929	ger	64	WAHR	free	Berlin : Verl. moderner Lektüre, 1929	1017574863	Der Detektiv	unkown	Krimi		Abenteuer	202.0
2	Old Crack, der Goldsucher	Max Schraut	DER DETEKTIV	1929	ger	63	WAHR	free	Berlin : Verl. moderner Lektüre, 1929	1017586373	Der Detektiv	unkown	Krimi		Liebe	12.0
3	Old Cracks wahres Gesicht	Max Schraut	DER DETEKTIV	1929	ger	64	WAHR	free	Berlin : Verl. moderner Lektüre, 1929	1017586454	Der Detektiv	unkown	Krimi		Krieg	55.0
4	Der Hochseekutter	Max Schraut	DER DETEKTIV	1928	ger	62	WAHR	free	Berlin : Verl. moderner Lektüre, 1928	1017574472	Der Detektiv	unkown	Krimi		unklar	366.0
5	Die Gletscherspalte	Max Schraut	DER DETEKTIV	1928	ger	62	WAHR	free	Berlin : Verl. moderner Lektüre, 1928	101757474X	Der Detektiv	unkown	Krimi			
6	Das Paket im Urbanhafen	Erz.: Max Schraut (Walther Kabel)	DER DETEKTIV	1924	ger	64	WAHR	free	Berlin : Verlag moderner Lektüre, 1924	1017518173	Der Detektiv	unkown	Krimi			
7	Anita Armands Verhängnis	Max Schraut (Walther Kabel)	DER DETEKTIV	1923	ger	62	WAHR	free	Berlin : Verlag moderner Lektüre, 1923	1017517509	Der Detektiv	unkown	Krimi			
8	Der dritte Schuß	Max Schraut (Walther Kabel)	DER DETEKTIV	1923	ger	64	WAHR	free	Berlin : Verlag moderner Lektüre, 1923	1017517924	Der Detektiv	unkown	Krimi			
9	Der tote Kanarienvogel	Max Schraut (Walter Kabel)	DER DETEKTIV	1923	ger	64	WAHR	free	Berlin : Verlag moderner Lektüre, 1923	1017517169	Der Detektiv	unkown	Krimi			
10	Frau Inges Tränen	Max Schraut (Walther Kabel)	DER DETEKTIV	1923	ger	63	WAHR	free	Berlin : Verl. mod. Lektüre, 1923	1017517010	Der Detektiv	unkown	Krimi			
11	Der Richter von Texas	von Josef Brey	Abenteuer aus aller Welt	1940	ger	63	WAHR	free	Berlin : Fischer, [ca. 1940]	1022639366	Abenteuer aus aller Welt	unkown	Abenteuer			
12	Unter dem Drachenbanner	Otto Kindler	Abenteuer aus aller Welt	1940	ger	63	WAHR	free	Berlin : Hanns-Jörg Fischer, [ca. 1940]	102881738X	Abenteuer aus aller Welt	unkown	Abenteuer			
13	Das Vermächtnis des Ingenieurs Eigk	Hartmut Bastian. [Textzeichngn: Hans Malchert]	Aufwärts-Jugend-Bücherei	1943	ger	39	WAHR	free	Berlin : Aufwärts-Verl., [1943]	1028559631	Aufwärts-Jugend-Bücherei	unkown	Abenteuer			
